#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACHE	APP	9606.ENSP00000303211	9606.ENSP00000284981	0	0	0	0	0.092	0.801	0	0.759	0.952
EDN1	MMP9	9606.ENSP00000368683	9606.ENSP00000361405	0	0	0	0	0	0	0.800	0.652	0.927
EDN1	PPARA	9606.ENSP00000368683	9606.ENSP00000385523	0	0	0	0	0	0	0.900	0.468	0.944
EGF	PRKCB	9606.ENSP00000265171	9606.ENSP00000305355	0	0	0	0	0	0	0.900	0.243	0.921
EGF	RASA1	9606.ENSP00000265171	9606.ENSP00000274376	0	0	0	0	0	0	0.900	0.372	0.934
EGF	F3	9606.ENSP00000265171	9606.ENSP00000334145	0	0	0	0	0	0	0	0.966	0.966
EGF	FOS	9606.ENSP00000265171	9606.ENSP00000306245	0	0	0	0	0	0	0.900	0.687	0.967
EGF	ERBB2	9606.ENSP00000265171	9606.ENSP00000269571	0	0	0	0	0.160	0.321	0.900	0.989	0.999
EGF	ERBB3	9606.ENSP00000265171	9606.ENSP00000267101	0	0	0	0	0.177	0.301	0.900	0.987	0.999
ELK1	MAPK14	9606.ENSP00000483056	9606.ENSP00000229795	0	0	0	0	0	0.270	0.900	0	0.923
ELK1	PRKCB	9606.ENSP00000483056	9606.ENSP00000305355	0	0	0	0	0	0	0.900	0	0.900
ELK1	FOS	9606.ENSP00000483056	9606.ENSP00000306245	0	0	0	0	0	0.213	0.900	0.386	0.947
ELK1	JUN	9606.ENSP00000483056	9606.ENSP00000360266	0	0	0	0	0	0.158	0.900	0.217	0.928
ERBB2	ERBB3	9606.ENSP00000269571	9606.ENSP00000267101	0	0	0	0.897	0.117	0.915	0.900	0.991	0.992
ERBB2	PRKACA	9606.ENSP00000269571	9606.ENSP00000309591	0	0	0	0.598	0	0	0.900	0.116	0.903
ERBB3	HGF	9606.ENSP00000267101	9606.ENSP00000222390	0	0	0	0	0.062	0	0.800	0.560	0.910
ERBB3	PRKACA	9606.ENSP00000267101	9606.ENSP00000309591	0	0	0	0.578	0	0.270	0.900	0.067	0.924
ESR2	NOS3	9606.ENSP00000343925	9606.ENSP00000297494	0	0	0	0	0	0.067	0.900	0.851	0.984
ESR2	FOS	9606.ENSP00000343925	9606.ENSP00000306245	0	0	0	0	0	0.182	0.800	0.836	0.970
ESR2	JUN	9606.ENSP00000343925	9606.ENSP00000360266	0	0	0	0	0	0.066	0.800	0.795	0.958
F10	F2	9606.ENSP00000364709	9606.ENSP00000308541	0	0	0.391	0.763	0.199	0	0.900	0.979	0.941
F10	F3	9606.ENSP00000364709	9606.ENSP00000334145	0	0	0	0	0	0.213	0.600	0.988	0.996
F10	F7	9606.ENSP00000364709	9606.ENSP00000364731	0	0	0.423	0.897	0.419	0.270	0.800	0.927	0.920
F2	PLAT	9606.ENSP00000308541	9606.ENSP00000220809	0	0	0.395	0.642	0	0.653	0.900	0.739	0.976
F2	SERPINE1	9606.ENSP00000308541	9606.ENSP00000223095	0	0	0	0	0.072	0.506	0	0.802	0.901
F2	RAF1	9606.ENSP00000308541	9606.ENSP00000251849	0	0	0	0	0	0.056	0.900	0.095	0.907
F2	PPARA	9606.ENSP00000308541	9606.ENSP00000385523	0	0	0	0	0.064	0	0.900	0.202	0.918
F2	IGF2	9606.ENSP00000308541	9606.ENSP00000391826	0	0	0	0	0.159	0	0.900	0.143	0.921
F2	PLAU	9606.ENSP00000308541	9606.ENSP00000361850	0	0	0.415	0.645	0	0.213	0.900	0.467	0.940
F2	F3	9606.ENSP00000308541	9606.ENSP00000334145	0	0	0	0	0	0	0.900	0.921	0.991
F2	THBD	9606.ENSP00000308541	9606.ENSP00000366307	0	0	0	0	0	0.962	0.800	0.925	0.999
F3	F7	9606.ENSP00000334145	9606.ENSP00000364731	0	0	0	0	0	0.978	0.900	0.990	0.999
FOS	HMOX1	9606.ENSP00000306245	9606.ENSP00000216117	0	0	0	0	0	0	0.900	0.517	0.949
FOS	TGFB1	9606.ENSP00000306245	9606.ENSP00000221930	0	0	0	0	0	0	0.900	0.468	0.944
FOS	MAPK14	9606.ENSP00000306245	9606.ENSP00000229795	0	0	0	0	0	0.248	0.900	0.592	0.966
FOS	NR3C1	9606.ENSP00000306245	9606.ENSP00000231509	0	0	0	0	0.054	0.225	0.900	0.677	0.973
FOS	IL1A	9606.ENSP00000306245	9606.ENSP00000263339	0	0	0	0	0.062	0	0.900	0.501	0.949
FOS	PPARG	9606.ENSP00000306245	9606.ENSP00000287820	0	0	0	0	0	0.082	0.900	0.605	0.960
FOS	STAT5B	9606.ENSP00000306245	9606.ENSP00000293328	0	0	0	0	0.062	0.056	0.900	0.505	0.950
FOS	PIM1	9606.ENSP00000306245	9606.ENSP00000362608	0	0	0	0	0.062	0.078	0.900	0.106	0.912
FOS	NFE2L2	9606.ENSP00000306245	9606.ENSP00000380252	0	0	0	0	0	0.056	0.900	0.468	0.945
FOS	TNF	9606.ENSP00000306245	9606.ENSP00000398698	0	0	0	0	0	0	0.900	0.711	0.969
FOS	RELA	9606.ENSP00000306245	9606.ENSP00000384273	0	0	0	0	0	0.659	0.900	0.640	0.986
FOS	MYC	9606.ENSP00000306245	9606.ENSP00000479618	0	0	0	0	0.065	0.129	0.900	0.861	0.987
FOS	RUNX2	9606.ENSP00000306245	9606.ENSP00000360493	0	0	0	0	0	0.486	0.800	0.898	0.988
FOS	JUN	9606.ENSP00000306245	9606.ENSP00000360266	0	0	0	0	0.656	0.985	0.900	0.996	0.999
GABRA1	GABRA3	9606.ENSP00000393097	9606.ENSP00000359337	0	0	0	0.972	0.144	0.182	0.900	0.729	0.925
GABRA1	GABRA2	9606.ENSP00000393097	9606.ENSP00000421828	0	0	0	0.977	0.197	0	0.900	0.844	0.917
GABRA2	GABRA3	9606.ENSP00000421828	9606.ENSP00000359337	0	0	0	0.973	0.140	0	0.900	0.749	0.912
GAPDH	SIRT1	9606.ENSP00000229239	9606.ENSP00000212015	0	0	0	0	0	0.433	0	0.894	0.937
GAPDH	TP53	9606.ENSP00000229239	9606.ENSP00000269305	0	0	0	0	0	0.270	0	0.869	0.901
GSK3B	NR3C1	9606.ENSP00000324806	9606.ENSP00000231509	0	0	0	0	0	0.077	0.900	0.321	0.931
GSK3B	TP53	9606.ENSP00000324806	9606.ENSP00000269305	0	0	0	0	0	0.866	0.900	0.973	0.999
GSK3B	PRKACA	9606.ENSP00000324806	9606.ENSP00000309591	0	0	0.251	0.625	0.079	0.721	0.800	0.276	0.953
GSK3B	JUN	9606.ENSP00000324806	9606.ENSP00000360266	0	0	0	0	0	0.691	0.900	0.709	0.990
GSK3B	MYC	9606.ENSP00000324806	9606.ENSP00000479618	0	0	0	0	0.064	0.775	0.900	0.860	0.996
HERC5	IRF3	9606.ENSP00000264350	9606.ENSP00000471896	0	0	0	0	0	0.270	0.900	0.424	0.954
HGF	MMP2	9606.ENSP00000222390	9606.ENSP00000219070	0	0	0	0	0.088	0	0.900	0.612	0.961
HGF	PLAU	9606.ENSP00000222390	9606.ENSP00000361850	0	0	0	0.666	0	0.213	0.900	0.602	0.933
HGF	MMP3	9606.ENSP00000222390	9606.ENSP00000299855	0	0	0	0	0.069	0	0.900	0.519	0.951
HGF	MMP1	9606.ENSP00000222390	9606.ENSP00000322788	0	0	0	0	0.067	0	0.900	0.527	0.952
HGF	IL10	9606.ENSP00000222390	9606.ENSP00000412237	0	0	0	0	0	0	0.900	0.666	0.965
HGF	MMP9	9606.ENSP00000222390	9606.ENSP00000361405	0	0	0	0	0.062	0	0.900	0.705	0.970
HMOX1	MAPK14	9606.ENSP00000216117	9606.ENSP00000229795	0	0	0	0	0	0	0.900	0.407	0.938
HMOX1	IL4	9606.ENSP00000216117	9606.ENSP00000231449	0	0	0	0	0	0	0.900	0.505	0.948
HMOX1	JUN	9606.ENSP00000216117	9606.ENSP00000360266	0	0	0	0	0	0	0.900	0.692	0.967
HMOX1	NFE2L2	9606.ENSP00000216117	9606.ENSP00000380252	0	0	0	0	0	0	0.900	0.916	0.991
HSPA5	SOD1	9606.ENSP00000324173	9606.ENSP00000270142	0	0	0	0	0	0.149	0.800	0.722	0.948
HSPB1	MAPK14	9606.ENSP00000248553	9606.ENSP00000229795	0	0	0	0	0	0.363	0.900	0.794	0.985
HSPB1	TP53	9606.ENSP00000248553	9606.ENSP00000269305	0	0	0	0	0	0.848	0	0.760	0.962
HTR1A	SLC6A4	9606.ENSP00000316244	9606.ENSP00000261707	0	0	0	0	0	0.057	0	0.981	0.982
HTR2A	SLC6A4	9606.ENSP00000437737	9606.ENSP00000261707	0	0	0	0	0	0.057	0	0.912	0.914
IFNG	IL2	9606.ENSP00000229135	9606.ENSP00000226730	0	0	0	0	0.087	0	0	0.902	0.907
IFNG	IL1B	9606.ENSP00000229135	9606.ENSP00000263341	0	0	0	0	0.080	0	0	0.903	0.907
IFNG	IL4	9606.ENSP00000229135	9606.ENSP00000231449	0	0	0	0	0	0	0	0.910	0.910
IFNG	TNF	9606.ENSP00000229135	9606.ENSP00000398698	0	0	0	0	0.152	0.213	0	0.915	0.938
IFNG	RELA	9606.ENSP00000229135	9606.ENSP00000384273	0	0	0	0	0	0	0.900	0.475	0.945
IFNG	IL10	9606.ENSP00000229135	9606.ENSP00000412237	0	0	0	0	0.066	0	0	0.950	0.951
IFNG	JUN	9606.ENSP00000229135	9606.ENSP00000360266	0	0	0	0	0	0	0.900	0.601	0.958
IFNG	STAT4	9606.ENSP00000229135	9606.ENSP00000376134	0	0	0	0	0.096	0	0.900	0.670	0.967
IGF2	MMP2	9606.ENSP00000391826	9606.ENSP00000219070	0	0	0	0	0.165	0	0.900	0.394	0.944
IGF2	IGFBP6	9606.ENSP00000391826	9606.ENSP00000301464	0	0	0	0	0.069	0.270	0.600	0.989	0.996
IGF2	INSR	9606.ENSP00000391826	9606.ENSP00000303830	0	0	0	0	0	0.213	0.600	0.880	0.959
IGF2	MMP1	9606.ENSP00000391826	9606.ENSP00000322788	0	0	0	0	0.076	0	0.900	0.266	0.926
IKBKB	NFKB1	9606.ENSP00000430684	9606.ENSP00000226574	0	0	0	0	0.062	0.963	0.900	0.860	0.999
IKBKB	NFKBIE	9606.ENSP00000430684	9606.ENSP00000275015	0	0	0	0	0.062	0.120	0.900	0.657	0.967
IKBKB	PRKCB	9606.ENSP00000430684	9606.ENSP00000305355	0	0	0	0.565	0	0.688	0.900	0.431	0.973
IKBKB	MAP3K7	9606.ENSP00000430684	9606.ENSP00000358335	0	0	0	0.570	0.065	0.897	0.900	0.867	0.993
IKBKB	PTEN	9606.ENSP00000430684	9606.ENSP00000361021	0	0	0	0	0.052	0.111	0.800	0.525	0.909
IKBKB	RELA	9606.ENSP00000430684	9606.ENSP00000384273	0	0	0	0	0.063	0.881	0.900	0.845	0.998
IKBKB	TNF	9606.ENSP00000430684	9606.ENSP00000398698	0	0	0	0	0.062	0.696	0.900	0.811	0.993
IL10	MMP2	9606.ENSP00000412237	9606.ENSP00000219070	0	0	0	0	0	0	0.900	0.601	0.958
IL10	TGFB1	9606.ENSP00000412237	9606.ENSP00000221930	0	0	0	0	0	0	0.900	0.788	0.977
IL10	IL2	9606.ENSP00000412237	9606.ENSP00000226730	0	0	0	0	0	0	0	0.918	0.918
IL10	IL4	9606.ENSP00000412237	9606.ENSP00000231449	0	0	0	0	0	0	0	0.937	0.937
IL10	IL1A	9606.ENSP00000412237	9606.ENSP00000263339	0	0	0	0	0.064	0	0.900	0.877	0.987
IL10	IL1B	9606.ENSP00000412237	9606.ENSP00000263341	0	0	0	0	0.086	0	0.900	0.959	0.995
IL10	MMP3	9606.ENSP00000412237	9606.ENSP00000299855	0	0	0	0	0.052	0	0.900	0.611	0.959
IL10	MMP1	9606.ENSP00000412237	9606.ENSP00000322788	0	0	0	0	0.052	0	0.900	0.565	0.955
IL10	MMP9	9606.ENSP00000412237	9606.ENSP00000361405	0	0	0	0	0	0	0.900	0.758	0.974
IL10	STAT4	9606.ENSP00000412237	9606.ENSP00000376134	0	0	0	0	0	0.068	0.900	0.707	0.970
IL10	TNF	9606.ENSP00000412237	9606.ENSP00000398698	0	0	0	0	0.097	0	0.900	0.959	0.996
IL1A	NFKB1	9606.ENSP00000263339	9606.ENSP00000226574	0	0	0	0	0.093	0	0.900	0.460	0.946
IL1A	IL4	9606.ENSP00000263339	9606.ENSP00000231449	0	0	0	0	0	0	0.900	0.845	0.983
IL1A	MAP3K7	9606.ENSP00000263339	9606.ENSP00000358335	0	0	0	0	0	0	0.900	0.287	0.925
IL1A	RELA	9606.ENSP00000263339	9606.ENSP00000384273	0	0	0	0	0	0	0.900	0.505	0.948
IL1A	JUN	9606.ENSP00000263339	9606.ENSP00000360266	0	0	0	0	0	0	0.900	0.632	0.961
IL1A	TNF	9606.ENSP00000263339	9606.ENSP00000398698	0	0	0	0	0.289	0	0.500	0.917	0.968
IL1A	IL1B	9606.ENSP00000263339	9606.ENSP00000263341	0	0	0	0	0.761	0	0.800	0.916	0.995
IL1B	NFKB1	9606.ENSP00000263341	9606.ENSP00000226574	0	0	0	0	0.130	0	0.900	0.656	0.967
IL1B	MAPK14	9606.ENSP00000263341	9606.ENSP00000229795	0	0	0	0	0	0	0.900	0.734	0.972
IL1B	IL4	9606.ENSP00000263341	9606.ENSP00000231449	0	0	0	0	0	0	0.900	0.910	0.990
IL1B	PTGS2	9606.ENSP00000263341	9606.ENSP00000356438	0	0	0	0	0.561	0	0	0.877	0.944
IL1B	JUN	9606.ENSP00000263341	9606.ENSP00000360266	0	0	0	0	0.052	0	0.800	0.792	0.957
IL1B	RELA	9606.ENSP00000263341	9606.ENSP00000384273	0	0	0	0	0	0	0.900	0.793	0.978
IL1B	TNF	9606.ENSP00000263341	9606.ENSP00000398698	0	0	0	0	0.462	0	0.500	0.942	0.983
IL2	PRKCB	9606.ENSP00000226730	9606.ENSP00000305355	0	0	0	0	0	0	0.900	0.204	0.916
IL2	TNF	9606.ENSP00000226730	9606.ENSP00000398698	0	0	0	0	0	0	0	0.933	0.933
IL2	MAPK14	9606.ENSP00000226730	9606.ENSP00000229795	0	0	0	0	0	0	0.900	0.412	0.938
IL2	IL4	9606.ENSP00000226730	9606.ENSP00000231449	0	0	0	0	0.063	0	0	0.936	0.938
IL2	JUN	9606.ENSP00000226730	9606.ENSP00000360266	0	0	0	0	0	0.270	0.900	0.619	0.969
IL2	RELA	9606.ENSP00000226730	9606.ENSP00000384273	0	0	0	0	0	0.486	0.900	0.500	0.972
IL2	STAT5B	9606.ENSP00000226730	9606.ENSP00000293328	0	0	0	0	0	0	0.900	0.944	0.994
IL4	MAPK14	9606.ENSP00000231449	9606.ENSP00000229795	0	0	0	0	0	0.065	0.900	0.476	0.946
IL4	RELA	9606.ENSP00000231449	9606.ENSP00000384273	0	0	0	0	0	0	0.900	0.463	0.944
IL4	JUN	9606.ENSP00000231449	9606.ENSP00000360266	0	0	0	0	0	0	0.900	0.603	0.958
IL4	STAT5B	9606.ENSP00000231449	9606.ENSP00000293328	0	0	0	0	0	0	0.900	0.689	0.967
IL4	TNF	9606.ENSP00000231449	9606.ENSP00000398698	0	0	0	0	0	0	0.900	0.933	0.993
IRF3	NR3C1	9606.ENSP00000471896	9606.ENSP00000231509	0	0	0	0	0	0	0.900	0.247	0.921
IRF3	JUN	9606.ENSP00000471896	9606.ENSP00000360266	0	0	0	0	0	0.800	0.900	0.974	0.999
IRF3	RELA	9606.ENSP00000471896	9606.ENSP00000384273	0	0	0	0	0.077	0.213	0.900	0.870	0.989
ITGB3	SERPINE1	9606.ENSP00000452786	9606.ENSP00000223095	0	0	0	0	0.126	0	0.900	0.578	0.959
ITGB3	PLAU	9606.ENSP00000452786	9606.ENSP00000361850	0	0	0	0	0.095	0	0.900	0.295	0.930
ITGB3	SPP1	9606.ENSP00000452786	9606.ENSP00000378517	0	0	0	0	0.049	0	0.900	0.469	0.945
JUN	SIRT1	9606.ENSP00000360266	9606.ENSP00000212015	0	0	0	0	0	0.740	0	0.837	0.956
JUN	TGFB1	9606.ENSP00000360266	9606.ENSP00000221930	0	0	0	0	0.061	0	0.900	0.593	0.958
JUN	MAPK14	9606.ENSP00000360266	9606.ENSP00000229795	0	0	0	0	0	0.400	0.900	0.838	0.989
JUN	NR3C1	9606.ENSP00000360266	9606.ENSP00000231509	0	0	0	0	0	0.493	0.900	0.973	0.998
JUN	TP53	9606.ENSP00000360266	9606.ENSP00000269305	0	0	0	0	0	0.149	0.600	0.838	0.940
JUN	PPARG	9606.ENSP00000360266	9606.ENSP00000287820	0	0	0	0	0	0.066	0.900	0.842	0.984
JUN	NOS3	9606.ENSP00000360266	9606.ENSP00000297494	0	0	0	0	0	0	0.900	0.603	0.958
JUN	NOS2	9606.ENSP00000360266	9606.ENSP00000327251	0	0	0	0	0	0	0.900	0.581	0.956
JUN	STAT4	9606.ENSP00000360266	9606.ENSP00000376134	0	0	0	0	0	0.343	0.900	0.539	0.967
JUN	TNF	9606.ENSP00000360266	9606.ENSP00000398698	0	0	0	0	0	0	0.900	0.847	0.984
JUN	RELA	9606.ENSP00000360266	9606.ENSP00000384273	0	0	0	0	0.069	0.481	0.900	0.844	0.991
JUN	MYC	9606.ENSP00000360266	9606.ENSP00000479618	0	0	0	0	0.063	0.607	0.900	0.851	0.993
JUN	PPARA	9606.ENSP00000360266	9606.ENSP00000385523	0	0	0	0	0	0.066	0.900	0.963	0.996
JUN	NFE2L2	9606.ENSP00000360266	9606.ENSP00000380252	0	0	0	0	0	0.769	0.900	0.977	0.999
MAP3K7	TGFB1	9606.ENSP00000358335	9606.ENSP00000221930	0	0	0	0	0	0.150	0.900	0.350	0.940
MAP3K7	MAPK14	9606.ENSP00000358335	9606.ENSP00000229795	0	0	0	0.604	0	0.300	0.900	0.585	0.943
MAP3K7	RELA	9606.ENSP00000358335	9606.ENSP00000384273	0	0	0	0	0.062	0.685	0.650	0.466	0.937
MAP3K7	TNF	9606.ENSP00000358335	9606.ENSP00000398698	0	0	0	0	0	0.639	0.900	0.548	0.982
MAPK14	NFKB1	9606.ENSP00000229795	9606.ENSP00000226574	0	0	0	0	0.065	0.134	0.900	0.463	0.950
MAPK14	NCF2	9606.ENSP00000229795	9606.ENSP00000356505	0	0	0	0	0.062	0	0.900	0.329	0.931
MAPK14	NR3C1	9606.ENSP00000229795	9606.ENSP00000231509	0	0	0	0	0	0.104	0.900	0.334	0.935
MAPK14	MYC	9606.ENSP00000229795	9606.ENSP00000479618	0	0	0	0	0	0.129	0.900	0.520	0.954
MAPK14	RELA	9606.ENSP00000229795	9606.ENSP00000384273	0	0	0	0	0	0.128	0.900	0.525	0.955
MAPK14	STAT4	9606.ENSP00000229795	9606.ENSP00000376134	0	0	0	0	0.062	0.225	0.900	0.469	0.956
MAPK14	TNF	9606.ENSP00000229795	9606.ENSP00000398698	0	0	0	0	0	0	0.900	0.768	0.975
MAPK14	TP53	9606.ENSP00000229795	9606.ENSP00000269305	0	0	0	0	0	0.878	0.900	0.655	0.995
MCL1	TP53	9606.ENSP00000358022	9606.ENSP00000269305	0	0	0	0	0.051	0.298	0.900	0.944	0.995
MCL1	NOS2	9606.ENSP00000358022	9606.ENSP00000327251	0	0	0	0	0	0	0.900	0.142	0.910
MDM2	PTEN	9606.ENSP00000258149	9606.ENSP00000361021	0	0	0	0	0.062	0	0.900	0.775	0.977
MDM2	RASSF1	9606.ENSP00000258149	9606.ENSP00000349547	0	0	0	0	0	0.501	0.900	0.764	0.987
MDM2	NPM1	9606.ENSP00000258149	9606.ENSP00000296930	0	0	0	0	0	0.835	0	0.974	0.995
MDM2	TP53	9606.ENSP00000258149	9606.ENSP00000269305	0	0	0	0	0.240	0.998	0.900	0.995	0.999
MMP1	MMP2	9606.ENSP00000322788	9606.ENSP00000219070	0	0	0	0.869	0.154	0	0.900	0.883	0.921
MMP1	TGFB1	9606.ENSP00000322788	9606.ENSP00000221930	0	0	0	0	0.076	0	0.900	0.609	0.960
MMP1	MMP3	9606.ENSP00000322788	9606.ENSP00000299855	0	0	0.298	0.953	0.529	0	0.900	0.912	0.953
MMP1	PRSS1	9606.ENSP00000322788	9606.ENSP00000308720	0	0	0	0	0.066	0	0.900	0.086	0.907
MMP1	MMP9	9606.ENSP00000322788	9606.ENSP00000361405	0	0	0	0.750	0.518	0	0.900	0.901	0.961
MMP2	MMP9	9606.ENSP00000219070	9606.ENSP00000361405	0	0	0	0.929	0.062	0	0.900	0.923	0.908
MMP2	TGFB1	9606.ENSP00000219070	9606.ENSP00000221930	0	0	0	0	0.062	0.634	0.900	0.693	0.988
MMP3	TGFB1	9606.ENSP00000299855	9606.ENSP00000221930	0	0	0	0	0	0	0.900	0.544	0.952
MMP3	PRSS1	9606.ENSP00000299855	9606.ENSP00000308720	0	0	0	0	0	0	0.900	0.047	0.900
MMP3	MMP9	9606.ENSP00000299855	9606.ENSP00000361405	0	0	0	0.791	0.518	0	0.800	0.903	0.918
MMP3	SPP1	9606.ENSP00000299855	9606.ENSP00000378517	0	0	0	0	0.062	0.213	0.900	0.811	0.984
MMP9	TGFB1	9606.ENSP00000361405	9606.ENSP00000221930	0	0	0	0	0.085	0.634	0.900	0.762	0.991
MMP9	PRSS1	9606.ENSP00000361405	9606.ENSP00000308720	0	0	0	0	0	0	0.900	0.143	0.910
MPO	PTGS1	9606.ENSP00000225275	9606.ENSP00000354612	0	0	0	0	0.076	0	0.900	0.340	0.933
MYC	TP53	9606.ENSP00000479618	9606.ENSP00000269305	0	0	0	0	0.091	0.274	0	0.893	0.923
MYC	NPM1	9606.ENSP00000479618	9606.ENSP00000296930	0	0	0	0	0.117	0.187	0	0.938	0.952
MYC	NOS2	9606.ENSP00000479618	9606.ENSP00000327251	0	0	0	0	0	0	0.900	0.254	0.922
MYC	PIM1	9606.ENSP00000479618	9606.ENSP00000362608	0	0	0	0	0.097	0.496	0.900	0.489	0.973
MYC	RBL1	9606.ENSP00000479618	9606.ENSP00000362768	0	0	0	0	0	0.270	0.900	0.938	0.995
MYC	RELA	9606.ENSP00000479618	9606.ENSP00000384273	0	0	0	0	0	0.603	0.900	0.666	0.985
MYC	PPARA	9606.ENSP00000479618	9606.ENSP00000385523	0	0	0	0	0	0.069	0.900	0.572	0.956
MYC	TNF	9606.ENSP00000479618	9606.ENSP00000398698	0	0	0	0	0.062	0	0.900	0.666	0.965
MYC	RXRA	9606.ENSP00000479618	9606.ENSP00000419692	0	0	0	0	0	0.069	0.900	0.319	0.931
NCF2	VCAM1	9606.ENSP00000356505	9606.ENSP00000294728	0	0	0	0	0.063	0	0.900	0.293	0.927
NCF2	PRKCB	9606.ENSP00000356505	9606.ENSP00000305355	0	0	0	0	0.089	0	0.900	0.258	0.926
NFE2L2	PRKCB	9606.ENSP00000380252	9606.ENSP00000305355	0	0	0	0	0	0	0.900	0.155	0.911
NFKB1	SIRT1	9606.ENSP00000226574	9606.ENSP00000212015	0	0	0	0	0.062	0.345	0.800	0.299	0.902
NFKB1	PRKACA	9606.ENSP00000226574	9606.ENSP00000309591	0	0	0	0	0.098	0.225	0.900	0.107	0.929
NFKB1	NFKBIE	9606.ENSP00000226574	9606.ENSP00000275015	0	0	0	0.660	0.203	0.491	0.800	0.713	0.932
NFKB1	STAT4	9606.ENSP00000226574	9606.ENSP00000376134	0	0	0	0	0.052	0.057	0.900	0.341	0.933
NFKB1	PPARG	9606.ENSP00000226574	9606.ENSP00000287820	0	0	0	0	0	0.282	0.900	0.421	0.954
NFKB1	TNF	9606.ENSP00000226574	9606.ENSP00000398698	0	0	0	0	0.108	0	0.900	0.699	0.970
NFKB1	NR3C1	9606.ENSP00000226574	9606.ENSP00000231509	0	0	0	0	0.064	0.683	0.900	0.358	0.978
NFKB1	RELA	9606.ENSP00000226574	9606.ENSP00000384273	0	0	0	0.776	0.134	0.998	0.900	0.991	0.999
NFKBIE	RELA	9606.ENSP00000275015	9606.ENSP00000384273	0	0.001	0	0	0.089	0.687	0.800	0.976	0.998
NOS2	RXRA	9606.ENSP00000327251	9606.ENSP00000419692	0	0	0	0	0	0.067	0.900	0.047	0.903
NOS2	PPARA	9606.ENSP00000327251	9606.ENSP00000385523	0	0	0	0	0	0.067	0.900	0.378	0.936
NOS2	RELA	9606.ENSP00000327251	9606.ENSP00000384273	0	0	0	0	0	0.524	0.900	0.384	0.968
NOS2	TNF	9606.ENSP00000327251	9606.ENSP00000398698	0	0	0	0	0.063	0	0.900	0.796	0.979
NOS3	PRKACA	9606.ENSP00000297494	9606.ENSP00000309591	0	0	0	0	0	0.154	0.900	0.043	0.911
NPM1	TP53	9606.ENSP00000296930	9606.ENSP00000269305	0	0	0	0	0.096	0.875	0.650	0.983	0.999
NR1I2	RXRA	9606.ENSP00000336528	9606.ENSP00000419692	0	0	0	0.631	0.062	0.975	0	0.985	0.984
NR3C1	PRKACA	9606.ENSP00000231509	9606.ENSP00000309591	0	0	0	0	0.049	0.213	0.900	0.049	0.919
NR3C1	RXRA	9606.ENSP00000231509	9606.ENSP00000419692	0	0	0	0.632	0	0	0.900	0.643	0.923
NR3C1	RUNX2	9606.ENSP00000231509	9606.ENSP00000360493	0	0	0	0	0	0.152	0.900	0.464	0.950
NR3C1	TNF	9606.ENSP00000231509	9606.ENSP00000398698	0	0	0	0	0	0	0.900	0.621	0.960
NR3C1	STAT5B	9606.ENSP00000231509	9606.ENSP00000293328	0	0	0	0	0	0.470	0	0.962	0.979
NR3C1	TP53	9606.ENSP00000231509	9606.ENSP00000269305	0	0	0	0	0	0.486	0.900	0.637	0.979
NR3C1	RELA	9606.ENSP00000231509	9606.ENSP00000384273	0	0	0	0	0	0.839	0.900	0.577	0.992
NUF2	TOP2A	9606.ENSP00000271452	9606.ENSP00000411532	0	0	0	0	0.855	0.056	0	0.538	0.931
PCNA	STAT5B	9606.ENSP00000368458	9606.ENSP00000293328	0	0	0	0	0	0	0.900	0	0.900
PCNA	TOP1	9606.ENSP00000368458	9606.ENSP00000354522	0	0	0	0	0.087	0.955	0	0.057	0.957
PDE4D	PRKACA	9606.ENSP00000345502	9606.ENSP00000309591	0	0	0	0	0.150	0.892	0.600	0.335	0.972
PIM1	STAT5B	9606.ENSP00000362608	9606.ENSP00000293328	0	0	0	0	0.053	0	0.900	0.330	0.931
PKIA	PRKACA	9606.ENSP00000379696	9606.ENSP00000309591	0	0	0	0	0.062	0.992	0.800	0.088	0.998
PLAT	SERPINE1	9606.ENSP00000220809	9606.ENSP00000223095	0	0	0	0	0.147	0.937	0.800	0.990	0.999
PLAU	SERPINE1	9606.ENSP00000361850	9606.ENSP00000223095	0	0	0	0	0.214	0.976	0.900	0.989	0.999
PPARA	SIRT1	9606.ENSP00000385523	9606.ENSP00000212015	0	0	0	0	0	0.495	0	0.988	0.994
PPARA	RXRG	9606.ENSP00000385523	9606.ENSP00000352900	0	0	0	0.696	0.062	0.333	0.900	0.483	0.941
PPARA	RELA	9606.ENSP00000385523	9606.ENSP00000384273	0	0	0	0	0	0.282	0.900	0.471	0.958
PPARA	TNF	9606.ENSP00000385523	9606.ENSP00000398698	0	0	0	0	0	0	0.900	0.700	0.968
PPARA	RXRA	9606.ENSP00000385523	9606.ENSP00000419692	0	0	0	0.695	0.062	0.885	0.900	0.989	0.991
PPARD	RXRG	9606.ENSP00000310928	9606.ENSP00000352900	0	0	0	0.689	0	0.332	0.900	0.496	0.940
PPARD	RXRA	9606.ENSP00000310928	9606.ENSP00000419692	0	0	0	0.705	0.062	0.684	0.900	0.852	0.975
PPARG	SIRT1	9606.ENSP00000287820	9606.ENSP00000212015	0	0	0	0	0	0.495	0.800	0.987	0.998
