rank,pathway_id,description,file,url
213,hsa04977,Vitamin digestion and absorption,213_hsa04977_Vitamin_digestion_and_absorption.png,https://rest.kegg.jp/get/hsa04977/image
214,hsa01100,Metabolic pathways,214_hsa01100_Metabolic_pathways.png,https://rest.kegg.jp/get/hsa01100/image
215,hsa01200,Carbon metabolism,215_hsa01200_Carbon_metabolism.png,https://rest.kegg.jp/get/hsa01200/image
216,hsa01210,2-Oxocarboxylic acid metabolism,216_hsa01210_2-Oxocarboxylic_acid_metabolism.png,https://rest.kegg.jp/get/hsa01210/image
217,hsa01212,Fatty acid metabolism,217_hsa01212_Fatty_acid_metabolism.png,https://rest.kegg.jp/get/hsa01212/image
218,hsa01230,Biosynthesis of amino acids,218_hsa01230_Biosynthesis_of_amino_acids.png,https://rest.kegg.jp/get/hsa01230/image
219,hsa01232,Nucleotide metabolism,219_hsa01232_Nucleotide_metabolism.png,https://rest.kegg.jp/get/hsa01232/image
220,hsa01250,Biosynthesis of nucleotide sugars,220_hsa01250_Biosynthesis_of_nucleotide_sugars.png,https://rest.kegg.jp/get/hsa01250/image
221,hsa01240,Biosynthesis of cofactors,221_hsa01240_Biosynthesis_of_cofactors.png,https://rest.kegg.jp/get/hsa01240/image
222,hsa01320,Sulfur cycle,222_hsa01320_Sulfur_cycle.png,https://rest.kegg.jp/get/hsa01320/image
223,hsa00010,Glycolysis / Gluconeogenesis,223_hsa00010_Glycolysis_Gluconeogenesis.png,https://rest.kegg.jp/get/hsa00010/image
224,hsa00020,Citrate cycle (TCA cycle),224_hsa00020_Citrate_cycle_TCA_cycle.png,https://rest.kegg.jp/get/hsa00020/image
225,hsa00030,Pentose phosphate pathway,225_hsa00030_Pentose_phosphate_pathway.png,https://rest.kegg.jp/get/hsa00030/image
226,hsa00040,Pentose and glucuronate interconversions,226_hsa00040_Pentose_and_glucuronate_interconversions.png,https://rest.kegg.jp/get/hsa00040/image
227,hsa00051,Fructose and mannose metabolism,227_hsa00051_Fructose_and_mannose_metabolism.png,https://rest.kegg.jp/get/hsa00051/image
228,hsa00052,Galactose metabolism,228_hsa00052_Galactose_metabolism.png,https://rest.kegg.jp/get/hsa00052/image
229,hsa00053,Ascorbate and aldarate metabolism,229_hsa00053_Ascorbate_and_aldarate_metabolism.png,https://rest.kegg.jp/get/hsa00053/image
230,hsa00500,Starch and sucrose metabolism,230_hsa00500_Starch_and_sucrose_metabolism.png,https://rest.kegg.jp/get/hsa00500/image
231,hsa00620,Pyruvate metabolism,231_hsa00620_Pyruvate_metabolism.png,https://rest.kegg.jp/get/hsa00620/image
232,hsa00630,Glyoxylate and dicarboxylate metabolism,232_hsa00630_Glyoxylate_and_dicarboxylate_metabolism.png,https://rest.kegg.jp/get/hsa00630/image
233,hsa00640,Propanoate metabolism,233_hsa00640_Propanoate_metabolism.png,https://rest.kegg.jp/get/hsa00640/image
234,hsa00650,Butanoate metabolism,234_hsa00650_Butanoate_metabolism.png,https://rest.kegg.jp/get/hsa00650/image
235,hsa00660,C5-Branched dibasic acid metabolism,235_hsa00660_C5-Branched_dibasic_acid_metabolism.png,https://rest.kegg.jp/get/hsa00660/image
236,hsa00562,Inositol phosphate metabolism,236_hsa00562_Inositol_phosphate_metabolism.png,https://rest.kegg.jp/get/hsa00562/image
237,hsa00190,Oxidative phosphorylation,237_hsa00190_Oxidative_phosphorylation.png,https://rest.kegg.jp/get/hsa00190/image
238,hsa00910,Nitrogen metabolism,238_hsa00910_Nitrogen_metabolism.png,https://rest.kegg.jp/get/hsa00910/image
239,hsa00920,Sulfur metabolism,239_hsa00920_Sulfur_metabolism.png,https://rest.kegg.jp/get/hsa00920/image
240,hsa00061,Fatty acid biosynthesis,240_hsa00061_Fatty_acid_biosynthesis.png,https://rest.kegg.jp/get/hsa00061/image
241,hsa00062,Fatty acid elongation,241_hsa00062_Fatty_acid_elongation.png,https://rest.kegg.jp/get/hsa00062/image
242,hsa00071,Fatty acid degradation,242_hsa00071_Fatty_acid_degradation.png,https://rest.kegg.jp/get/hsa00071/image
243,hsa00120,Primary bile acid biosynthesis,243_hsa00120_Primary_bile_acid_biosynthesis.png,https://rest.kegg.jp/get/hsa00120/image
244,hsa00561,Glycerolipid metabolism,244_hsa00561_Glycerolipid_metabolism.png,https://rest.kegg.jp/get/hsa00561/image
245,hsa00564,Glycerophospholipid metabolism,245_hsa00564_Glycerophospholipid_metabolism.png,https://rest.kegg.jp/get/hsa00564/image
246,hsa00565,Ether lipid metabolism,246_hsa00565_Ether_lipid_metabolism.png,https://rest.kegg.jp/get/hsa00565/image
247,hsa00600,Sphingolipid metabolism,247_hsa00600_Sphingolipid_metabolism.png,https://rest.kegg.jp/get/hsa00600/image
248,hsa00592,alpha-Linolenic acid metabolism,248_hsa00592_alpha-Linolenic_acid_metabolism.png,https://rest.kegg.jp/get/hsa00592/image
249,hsa01040,Biosynthesis of unsaturated fatty acids,249_hsa01040_Biosynthesis_of_unsaturated_fatty_acids.png,https://rest.kegg.jp/get/hsa01040/image
250,hsa00230,Purine metabolism,250_hsa00230_Purine_metabolism.png,https://rest.kegg.jp/get/hsa00230/image
251,hsa00240,Pyrimidine metabolism,251_hsa00240_Pyrimidine_metabolism.png,https://rest.kegg.jp/get/hsa00240/image
252,hsa00250,"Alanine, aspartate and glutamate metabolism",252_hsa00250_Alanine_aspartate_and_glutamate_metabolism.png,https://rest.kegg.jp/get/hsa00250/image
253,hsa00260,"Glycine, serine and threonine metabolism",253_hsa00260_Glycine_serine_and_threonine_metabolism.png,https://rest.kegg.jp/get/hsa00260/image
254,hsa00270,Cysteine and methionine metabolism,254_hsa00270_Cysteine_and_methionine_metabolism.png,https://rest.kegg.jp/get/hsa00270/image
255,hsa00280,"Valine, leucine and isoleucine degradation",255_hsa00280_Valine_leucine_and_isoleucine_degradation.png,https://rest.kegg.jp/get/hsa00280/image
256,hsa00290,"Valine, leucine and isoleucine biosynthesis",256_hsa00290_Valine_leucine_and_isoleucine_biosynthesis.png,https://rest.kegg.jp/get/hsa00290/image
257,hsa00310,Lysine degradation,257_hsa00310_Lysine_degradation.png,https://rest.kegg.jp/get/hsa00310/image
258,hsa00330,Arginine and proline metabolism,258_hsa00330_Arginine_and_proline_metabolism.png,https://rest.kegg.jp/get/hsa00330/image
259,hsa00340,Histidine metabolism,259_hsa00340_Histidine_metabolism.png,https://rest.kegg.jp/get/hsa00340/image
260,hsa00350,Tyrosine metabolism,260_hsa00350_Tyrosine_metabolism.png,https://rest.kegg.jp/get/hsa00350/image
261,hsa00360,Phenylalanine metabolism,261_hsa00360_Phenylalanine_metabolism.png,https://rest.kegg.jp/get/hsa00360/image
262,hsa00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",262_hsa00400_Phenylalanine_tyrosine_and_tryptophan_biosynthesis.png,https://rest.kegg.jp/get/hsa00400/image
263,hsa00410,beta-Alanine metabolism,263_hsa00410_beta-Alanine_metabolism.png,https://rest.kegg.jp/get/hsa00410/image
264,hsa00430,Taurine and hypotaurine metabolism,264_hsa00430_Taurine_and_hypotaurine_metabolism.png,https://rest.kegg.jp/get/hsa00430/image
265,hsa00440,Phosphonate and phosphinate metabolism,265_hsa00440_Phosphonate_and_phosphinate_metabolism.png,https://rest.kegg.jp/get/hsa00440/image
266,hsa00450,Selenocompound metabolism,266_hsa00450_Selenocompound_metabolism.png,https://rest.kegg.jp/get/hsa00450/image
267,hsa00470,D-Amino acid metabolism,267_hsa00470_D-Amino_acid_metabolism.png,https://rest.kegg.jp/get/hsa00470/image
268,hsa00520,Amino sugar and nucleotide sugar metabolism,268_hsa00520_Amino_sugar_and_nucleotide_sugar_metabolism.png,https://rest.kegg.jp/get/hsa00520/image
269,hsa00541,Biosynthesis of various nucleotide sugars,269_hsa00541_Biosynthesis_of_various_nucleotide_sugars.png,https://rest.kegg.jp/get/hsa00541/image
270,hsa00510,N-Glycan biosynthesis,270_hsa00510_N-Glycan_biosynthesis.png,https://rest.kegg.jp/get/hsa00510/image
271,hsa00513,Various types of N-glycan biosynthesis,271_hsa00513_Various_types_of_N-glycan_biosynthesis.png,https://rest.kegg.jp/get/hsa00513/image
272,hsa00512,Mucin type O-glycan biosynthesis,272_hsa00512_Mucin_type_O-glycan_biosynthesis.png,https://rest.kegg.jp/get/hsa00512/image
273,hsa00515,Mannose type O-glycan biosynthesis,273_hsa00515_Mannose_type_O-glycan_biosynthesis.png,https://rest.kegg.jp/get/hsa00515/image
274,hsa00514,Other types of O-glycan biosynthesis,274_hsa00514_Other_types_of_O-glycan_biosynthesis.png,https://rest.kegg.jp/get/hsa00514/image
275,hsa00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,275_hsa00532_Glycosaminoglycan_biosynthesis_-_chondroitin_sulfate_dermatan_sulfate.png,https://rest.kegg.jp/get/hsa00532/image
276,hsa00534,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,276_hsa00534_Glycosaminoglycan_biosynthesis_-_heparan_sulfate_heparin.png,https://rest.kegg.jp/get/hsa00534/image
277,hsa00533,Glycosaminoglycan biosynthesis - keratan sulfate,277_hsa00533_Glycosaminoglycan_biosynthesis_-_keratan_sulfate.png,https://rest.kegg.jp/get/hsa00533/image
278,hsa00531,Glycosaminoglycan degradation,278_hsa00531_Glycosaminoglycan_degradation.png,https://rest.kegg.jp/get/hsa00531/image
279,hsa00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,279_hsa00563_Glycosylphosphatidylinositol_GPI-anchor_biosynthesis.png,https://rest.kegg.jp/get/hsa00563/image
280,hsa00601,Glycosphingolipid biosynthesis - lacto and neolacto series,280_hsa00601_Glycosphingolipid_biosynthesis_-_lacto_and_neolacto_series.png,https://rest.kegg.jp/get/hsa00601/image
281,hsa00603,Glycosphingolipid biosynthesis - globo and isoglobo series,281_hsa00603_Glycosphingolipid_biosynthesis_-_globo_and_isoglobo_series.png,https://rest.kegg.jp/get/hsa00603/image
282,hsa00604,Glycosphingolipid biosynthesis - ganglio series,282_hsa00604_Glycosphingolipid_biosynthesis_-_ganglio_series.png,https://rest.kegg.jp/get/hsa00604/image
283,hsa00511,Other glycan degradation,283_hsa00511_Other_glycan_degradation.png,https://rest.kegg.jp/get/hsa00511/image
284,hsa00730,Thiamine metabolism,284_hsa00730_Thiamine_metabolism.png,https://rest.kegg.jp/get/hsa00730/image
285,hsa00740,Riboflavin metabolism,285_hsa00740_Riboflavin_metabolism.png,https://rest.kegg.jp/get/hsa00740/image
286,hsa00750,Vitamin B6 metabolism,286_hsa00750_Vitamin_B6_metabolism.png,https://rest.kegg.jp/get/hsa00750/image
287,hsa00760,Nicotinate and nicotinamide metabolism,287_hsa00760_Nicotinate_and_nicotinamide_metabolism.png,https://rest.kegg.jp/get/hsa00760/image
288,hsa00770,Pantothenate and CoA biosynthesis,288_hsa00770_Pantothenate_and_CoA_biosynthesis.png,https://rest.kegg.jp/get/hsa00770/image
289,hsa00780,Biotin metabolism,289_hsa00780_Biotin_metabolism.png,https://rest.kegg.jp/get/hsa00780/image
290,hsa00785,Lipoic acid metabolism,290_hsa00785_Lipoic_acid_metabolism.png,https://rest.kegg.jp/get/hsa00785/image
291,hsa00790,Folate biosynthesis,291_hsa00790_Folate_biosynthesis.png,https://rest.kegg.jp/get/hsa00790/image
292,hsa00670,One carbon pool by folate,292_hsa00670_One_carbon_pool_by_folate.png,https://rest.kegg.jp/get/hsa00670/image
293,hsa00860,Porphyrin metabolism,293_hsa00860_Porphyrin_metabolism.png,https://rest.kegg.jp/get/hsa00860/image
294,hsa00130,Ubiquinone and other terpenoid-quinone biosynthesis,294_hsa00130_Ubiquinone_and_other_terpenoid-quinone_biosynthesis.png,https://rest.kegg.jp/get/hsa00130/image
295,hsa00900,Terpenoid backbone biosynthesis,295_hsa00900_Terpenoid_backbone_biosynthesis.png,https://rest.kegg.jp/get/hsa00900/image
296,hsa00232,Caffeine metabolism,296_hsa00232_Caffeine_metabolism.png,https://rest.kegg.jp/get/hsa00232/image
297,hsa00524,"Neomycin, kanamycin and gentamicin biosynthesis",297_hsa00524_Neomycin_kanamycin_and_gentamicin_biosynthesis.png,https://rest.kegg.jp/get/hsa00524/image
298,hsa03020,RNA polymerase,298_hsa03020_RNA_polymerase.png,https://rest.kegg.jp/get/hsa03020/image
299,hsa03022,Basal transcription factors,299_hsa03022_Basal_transcription_factors.png,https://rest.kegg.jp/get/hsa03022/image
300,hsa03040,Spliceosome,300_hsa03040_Spliceosome.png,https://rest.kegg.jp/get/hsa03040/image
301,hsa03010,Ribosome,301_hsa03010_Ribosome.png,https://rest.kegg.jp/get/hsa03010/image
302,hsa00970,Aminoacyl-tRNA biosynthesis,302_hsa00970_Aminoacyl-tRNA_biosynthesis.png,https://rest.kegg.jp/get/hsa00970/image
303,hsa03013,Nucleocytoplasmic transport,303_hsa03013_Nucleocytoplasmic_transport.png,https://rest.kegg.jp/get/hsa03013/image
304,hsa03015,mRNA surveillance pathway,304_hsa03015_mRNA_surveillance_pathway.png,https://rest.kegg.jp/get/hsa03015/image
305,hsa03008,Ribosome biogenesis in eukaryotes,305_hsa03008_Ribosome_biogenesis_in_eukaryotes.png,https://rest.kegg.jp/get/hsa03008/image
306,hsa03060,Protein export,306_hsa03060_Protein_export.png,https://rest.kegg.jp/get/hsa03060/image
307,hsa04130,SNARE interactions in vesicular transport,307_hsa04130_SNARE_interactions_in_vesicular_transport.png,https://rest.kegg.jp/get/hsa04130/image
308,hsa04120,Ubiquitin mediated proteolysis,308_hsa04120_Ubiquitin_mediated_proteolysis.png,https://rest.kegg.jp/get/hsa04120/image
309,hsa04122,Sulfur relay system,309_hsa04122_Sulfur_relay_system.png,https://rest.kegg.jp/get/hsa04122/image
310,hsa03050,Proteasome,310_hsa03050_Proteasome.png,https://rest.kegg.jp/get/hsa03050/image
311,hsa03018,RNA degradation,311_hsa03018_RNA_degradation.png,https://rest.kegg.jp/get/hsa03018/image
312,hsa03030,DNA replication,312_hsa03030_DNA_replication.png,https://rest.kegg.jp/get/hsa03030/image
313,hsa03410,Base excision repair,313_hsa03410_Base_excision_repair.png,https://rest.kegg.jp/get/hsa03410/image
314,hsa03420,Nucleotide excision repair,314_hsa03420_Nucleotide_excision_repair.png,https://rest.kegg.jp/get/hsa03420/image
315,hsa03430,Mismatch repair,315_hsa03430_Mismatch_repair.png,https://rest.kegg.jp/get/hsa03430/image
316,hsa03440,Homologous recombination,316_hsa03440_Homologous_recombination.png,https://rest.kegg.jp/get/hsa03440/image
317,hsa03450,Non-homologous end-joining,317_hsa03450_Non-homologous_end-joining.png,https://rest.kegg.jp/get/hsa03450/image
318,hsa03460,Fanconi anemia pathway,318_hsa03460_Fanconi_anemia_pathway.png,https://rest.kegg.jp/get/hsa03460/image
319,hsa03082,ATP-dependent chromatin remodeling,319_hsa03082_ATP-dependent_chromatin_remodeling.png,https://rest.kegg.jp/get/hsa03082/image
320,hsa03083,Polycomb repressive complex,320_hsa03083_Polycomb_repressive_complex.png,https://rest.kegg.jp/get/hsa03083/image
321,hsa03250,Viral life cycle - HIV-1,321_hsa03250_Viral_life_cycle_-_HIV-1.png,https://rest.kegg.jp/get/hsa03250/image
322,hsa03260,Virion - Human immunodeficiency virus,322_hsa03260_Virion_-_Human_immunodeficiency_virus.png,https://rest.kegg.jp/get/hsa03260/image
323,hsa03271,Virion - Rotavirus,323_hsa03271_Virion_-_Rotavirus.png,https://rest.kegg.jp/get/hsa03271/image
324,hsa03264,Virion - Flavivirus and Alphavirus,324_hsa03264_Virion_-_Flavivirus_and_Alphavirus.png,https://rest.kegg.jp/get/hsa03264/image
325,hsa03265,"Virion - Ebolavirus, Lyssavirus and Morbillivirus",325_hsa03265_Virion_-_Ebolavirus_Lyssavirus_and_Morbillivirus.png,https://rest.kegg.jp/get/hsa03265/image
326,hsa03273,Virion - Lassa virus and SFTS virus,326_hsa03273_Virion_-_Lassa_virus_and_SFTS_virus.png,https://rest.kegg.jp/get/hsa03273/image
327,hsa03266,Virion - Herpesvirus,327_hsa03266_Virion_-_Herpesvirus.png,https://rest.kegg.jp/get/hsa03266/image
328,hsa03267,Virion - Adenovirus,328_hsa03267_Virion_-_Adenovirus.png,https://rest.kegg.jp/get/hsa03267/image
329,hsa02010,ABC transporters,329_hsa02010_ABC_transporters.png,https://rest.kegg.jp/get/hsa02010/image
330,hsa04392,Hippo signaling pathway - multiple species,330_hsa04392_Hippo_signaling_pathway_-_multiple_species.png,https://rest.kegg.jp/get/hsa04392/image
331,hsa04070,Phosphatidylinositol signaling system,331_hsa04070_Phosphatidylinositol_signaling_system.png,https://rest.kegg.jp/get/hsa04070/image
332,hsa04080,Neuroactive ligand-receptor interaction,332_hsa04080_Neuroactive_ligand-receptor_interaction.png,https://rest.kegg.jp/get/hsa04080/image
333,hsa04082,Neuroactive ligand signaling,333_hsa04082_Neuroactive_ligand_signaling.png,https://rest.kegg.jp/get/hsa04082/image
334,hsa04081,Hormone signaling,334_hsa04081_Hormone_signaling.png,https://rest.kegg.jp/get/hsa04081/image
335,hsa04136,Autophagy - other,335_hsa04136_Autophagy_-_other.png,https://rest.kegg.jp/get/hsa04136/image
336,hsa04114,Oocyte meiosis,336_hsa04114_Oocyte_meiosis.png,https://rest.kegg.jp/get/hsa04114/image
337,hsa04156,Integrated stress response (ISR) signaling pathway,337_hsa04156_Integrated_stress_response_ISR_signaling_pathway.png,https://rest.kegg.jp/get/hsa04156/image
338,hsa04814,Motor proteins,338_hsa04814_Motor_proteins.png,https://rest.kegg.jp/get/hsa04814/image
339,hsa04820,Cytoskeleton in muscle cells,339_hsa04820_Cytoskeleton_in_muscle_cells.png,https://rest.kegg.jp/get/hsa04820/image
340,hsa04918,Thyroid hormone synthesis,340_hsa04918_Thyroid_hormone_synthesis.png,https://rest.kegg.jp/get/hsa04918/image
341,hsa04924,Renin secretion,341_hsa04924_Renin_secretion.png,https://rest.kegg.jp/get/hsa04924/image
342,hsa04614,Renin-angiotensin system,342_hsa04614_Renin-angiotensin_system.png,https://rest.kegg.jp/get/hsa04614/image
343,hsa04925,Aldosterone synthesis and secretion,343_hsa04925_Aldosterone_synthesis_and_secretion.png,https://rest.kegg.jp/get/hsa04925/image
344,hsa04927,Cortisol synthesis and secretion,344_hsa04927_Cortisol_synthesis_and_secretion.png,https://rest.kegg.jp/get/hsa04927/image
345,hsa04970,Salivary secretion,345_hsa04970_Salivary_secretion.png,https://rest.kegg.jp/get/hsa04970/image
346,hsa04971,Gastric acid secretion,346_hsa04971_Gastric_acid_secretion.png,https://rest.kegg.jp/get/hsa04971/image
347,hsa04972,Pancreatic secretion,347_hsa04972_Pancreatic_secretion.png,https://rest.kegg.jp/get/hsa04972/image
348,hsa04981,Folate transport and metabolism,348_hsa04981_Folate_transport_and_metabolism.png,https://rest.kegg.jp/get/hsa04981/image
349,hsa04980,Cobalamin transport and metabolism,349_hsa04980_Cobalamin_transport_and_metabolism.png,https://rest.kegg.jp/get/hsa04980/image
350,hsa04962,Vasopressin-regulated water reabsorption,350_hsa04962_Vasopressin-regulated_water_reabsorption.png,https://rest.kegg.jp/get/hsa04962/image
351,hsa04961,Endocrine and other factor-regulated calcium reabsorption,351_hsa04961_Endocrine_and_other_factor-regulated_calcium_reabsorption.png,https://rest.kegg.jp/get/hsa04961/image
352,hsa04964,Proximal tubule bicarbonate reclamation,352_hsa04964_Proximal_tubule_bicarbonate_reclamation.png,https://rest.kegg.jp/get/hsa04964/image
353,hsa04966,Collecting duct acid secretion,353_hsa04966_Collecting_duct_acid_secretion.png,https://rest.kegg.jp/get/hsa04966/image
354,hsa04723,Retrograde endocannabinoid signaling,354_hsa04723_Retrograde_endocannabinoid_signaling.png,https://rest.kegg.jp/get/hsa04723/image
355,hsa04721,Synaptic vesicle cycle,355_hsa04721_Synaptic_vesicle_cycle.png,https://rest.kegg.jp/get/hsa04721/image
356,hsa04744,Phototransduction,356_hsa04744_Phototransduction.png,https://rest.kegg.jp/get/hsa04744/image
357,hsa04740,Olfactory transduction,357_hsa04740_Olfactory_transduction.png,https://rest.kegg.jp/get/hsa04740/image
358,hsa04742,Taste transduction,358_hsa04742_Taste_transduction.png,https://rest.kegg.jp/get/hsa04742/image
359,hsa04382,Cornified envelope formation,359_hsa04382_Cornified_envelope_formation.png,https://rest.kegg.jp/get/hsa04382/image
360,hsa04713,Circadian entrainment,360_hsa04713_Circadian_entrainment.png,https://rest.kegg.jp/get/hsa04713/image
361,hsa05110,Vibrio cholerae infection,361_hsa05110_Vibrio_cholerae_infection.png,https://rest.kegg.jp/get/hsa05110/image
362,hsa05150,Staphylococcus aureus infection,362_hsa05150_Staphylococcus_aureus_infection.png,https://rest.kegg.jp/get/hsa05150/image
363,hsa05322,Systemic lupus erythematosus,363_hsa05322_Systemic_lupus_erythematosus.png,https://rest.kegg.jp/get/hsa05322/image
364,hsa05340,Primary immunodeficiency,364_hsa05340_Primary_immunodeficiency.png,https://rest.kegg.jp/get/hsa05340/image
365,hsa05017,Spinocerebellar ataxia,365_hsa05017_Spinocerebellar_ataxia.png,https://rest.kegg.jp/get/hsa05017/image
366,hsa05030,Cocaine addiction,366_hsa05030_Cocaine_addiction.png,https://rest.kegg.jp/get/hsa05030/image
367,hsa05031,Amphetamine addiction,367_hsa05031_Amphetamine_addiction.png,https://rest.kegg.jp/get/hsa05031/image
368,hsa05032,Morphine addiction,368_hsa05032_Morphine_addiction.png,https://rest.kegg.jp/get/hsa05032/image
369,hsa05033,Nicotine addiction,369_hsa05033_Nicotine_addiction.png,https://rest.kegg.jp/get/hsa05033/image
370,hsa05034,Alcoholism,370_hsa05034_Alcoholism.png,https://rest.kegg.jp/get/hsa05034/image
371,hsa05412,Arrhythmogenic right ventricular cardiomyopathy,371_hsa05412_Arrhythmogenic_right_ventricular_cardiomyopathy.png,https://rest.kegg.jp/get/hsa05412/image
372,hsa04950,Maturity onset diabetes of the young,372_hsa04950_Maturity_onset_diabetes_of_the_young.png,https://rest.kegg.jp/get/hsa04950/image
373,map01110,Biosynthesis of secondary metabolites,373_map01110_Biosynthesis_of_secondary_metabolites.png,https://rest.kegg.jp/get/map01110/image
374,map01120,Microbial metabolism in diverse environments,374_map01120_Microbial_metabolism_in_diverse_environments.png,https://rest.kegg.jp/get/map01120/image
375,map00566,Sulfoquinovose metabolism,375_map00566_Sulfoquinovose_metabolism.png,https://rest.kegg.jp/get/map00566/image
376,map00195,Photosynthesis,376_map00195_Photosynthesis.png,https://rest.kegg.jp/get/map00195/image
377,map00196,Photosynthesis - antenna proteins,377_map00196_Photosynthesis_-_antenna_proteins.png,https://rest.kegg.jp/get/map00196/image
378,map00710,Carbon fixation by Calvin cycle,378_map00710_Carbon_fixation_by_Calvin_cycle.png,https://rest.kegg.jp/get/map00710/image
379,map00720,Other carbon fixation pathways,379_map00720_Other_carbon_fixation_pathways.png,https://rest.kegg.jp/get/map00720/image
380,map00680,Methane metabolism,380_map00680_Methane_metabolism.png,https://rest.kegg.jp/get/map00680/image
381,map00073,"Cutin, suberine and wax biosynthesis",381_map00073_Cutin_suberine_and_wax_biosynthesis.png,https://rest.kegg.jp/get/map00073/image
382,map00074,Mycolic acid biosynthesis,382_map00074_Mycolic_acid_biosynthesis.png,https://rest.kegg.jp/get/map00074/image
383,map00121,Secondary bile acid biosynthesis,383_map00121_Secondary_bile_acid_biosynthesis.png,https://rest.kegg.jp/get/map00121/image
384,map00300,Lysine biosynthesis,384_map00300_Lysine_biosynthesis.png,https://rest.kegg.jp/get/map00300/image
385,map00460,Cyanoamino acid metabolism,385_map00460_Cyanoamino_acid_metabolism.png,https://rest.kegg.jp/get/map00460/image
386,map00540,Lipopolysaccharide biosynthesis,386_map00540_Lipopolysaccharide_biosynthesis.png,https://rest.kegg.jp/get/map00540/image
387,map00542,O-Antigen repeat unit biosynthesis,387_map00542_O-Antigen_repeat_unit_biosynthesis.png,https://rest.kegg.jp/get/map00542/image
388,map00550,Peptidoglycan biosynthesis,388_map00550_Peptidoglycan_biosynthesis.png,https://rest.kegg.jp/get/map00550/image
389,map00552,Teichoic acid biosynthesis,389_map00552_Teichoic_acid_biosynthesis.png,https://rest.kegg.jp/get/map00552/image
390,map00571,Lipoarabinomannan (LAM) biosynthesis,390_map00571_Lipoarabinomannan_LAM_biosynthesis.png,https://rest.kegg.jp/get/map00571/image
391,map00572,Arabinogalactan biosynthesis - Mycobacterium,391_map00572_Arabinogalactan_biosynthesis_-_Mycobacterium.png,https://rest.kegg.jp/get/map00572/image
392,map00543,Exopolysaccharide biosynthesis,392_map00543_Exopolysaccharide_biosynthesis.png,https://rest.kegg.jp/get/map00543/image
393,map00902,Monoterpenoid biosynthesis,393_map00902_Monoterpenoid_biosynthesis.png,https://rest.kegg.jp/get/map00902/image
394,map00909,Sesquiterpenoid and triterpenoid biosynthesis,394_map00909_Sesquiterpenoid_and_triterpenoid_biosynthesis.png,https://rest.kegg.jp/get/map00909/image
395,map00904,Diterpenoid biosynthesis,395_map00904_Diterpenoid_biosynthesis.png,https://rest.kegg.jp/get/map00904/image
396,map00906,Carotenoid biosynthesis,396_map00906_Carotenoid_biosynthesis.png,https://rest.kegg.jp/get/map00906/image
397,map00905,Brassinosteroid biosynthesis,397_map00905_Brassinosteroid_biosynthesis.png,https://rest.kegg.jp/get/map00905/image
398,map00981,Insect hormone biosynthesis,398_map00981_Insect_hormone_biosynthesis.png,https://rest.kegg.jp/get/map00981/image
399,map00908,Zeatin biosynthesis,399_map00908_Zeatin_biosynthesis.png,https://rest.kegg.jp/get/map00908/image
400,map00903,Limonene degradation,400_map00903_Limonene_degradation.png,https://rest.kegg.jp/get/map00903/image
401,map00907,"Pinene, camphor and geraniol degradation",401_map00907_Pinene_camphor_and_geraniol_degradation.png,https://rest.kegg.jp/get/map00907/image
402,map01052,Type I polyketide structures,402_map01052_Type_I_polyketide_structures.png,https://rest.kegg.jp/get/map01052/image
403,map00522,"Biosynthesis of 12-, 14- and 16-membered macrolides",403_map00522_Biosynthesis_of_12-_14-_and_16-membered_macrolides.png,https://rest.kegg.jp/get/map00522/image
404,map01051,Biosynthesis of ansamycins,404_map01051_Biosynthesis_of_ansamycins.png,https://rest.kegg.jp/get/map01051/image
405,map01059,Biosynthesis of enediyne antibiotics,405_map01059_Biosynthesis_of_enediyne_antibiotics.png,https://rest.kegg.jp/get/map01059/image
406,map01056,Biosynthesis of type II polyketide backbone,406_map01056_Biosynthesis_of_type_II_polyketide_backbone.png,https://rest.kegg.jp/get/map01056/image
407,map01057,Biosynthesis of type II polyketide products,407_map01057_Biosynthesis_of_type_II_polyketide_products.png,https://rest.kegg.jp/get/map01057/image
408,map00253,Tetracycline biosynthesis,408_map00253_Tetracycline_biosynthesis.png,https://rest.kegg.jp/get/map00253/image
409,map00523,Polyketide sugar unit biosynthesis,409_map00523_Polyketide_sugar_unit_biosynthesis.png,https://rest.kegg.jp/get/map00523/image
410,map01054,Nonribosomal peptide structures,410_map01054_Nonribosomal_peptide_structures.png,https://rest.kegg.jp/get/map01054/image
411,map01053,Biosynthesis of siderophore group nonribosomal peptides,411_map01053_Biosynthesis_of_siderophore_group_nonribosomal_peptides.png,https://rest.kegg.jp/get/map01053/image
412,map01055,Biosynthesis of vancomycin group antibiotics,412_map01055_Biosynthesis_of_vancomycin_group_antibiotics.png,https://rest.kegg.jp/get/map01055/image
413,map00940,Phenylpropanoid biosynthesis,413_map00940_Phenylpropanoid_biosynthesis.png,https://rest.kegg.jp/get/map00940/image
414,map00945,"Stilbenoid, diarylheptanoid and gingerol biosynthesis",414_map00945_Stilbenoid_diarylheptanoid_and_gingerol_biosynthesis.png,https://rest.kegg.jp/get/map00945/image
415,map00941,Flavonoid biosynthesis,415_map00941_Flavonoid_biosynthesis.png,https://rest.kegg.jp/get/map00941/image
